Model,Vectorizer,N-grams,Tokenizer,Noise,Analyzer,Accuracy,Precision (w_avg),Recall (w_avg),F1-Score (w_avg),Precision (m_agv),Recall (m_agv),F1-Score (m_agv),Precision (pos),Recall (pos),F1-Score (pos),Precision (neg),Recall (neg),F1-Score (neg)
LogisticRegression,CountVectorizer,1,_,_,_,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.77,0.76,0.76,0.76,0.76,0.76
LogisticRegression,CountVectorizer,3,_,_,_,0.65,0.67,0.65,0.64,0.67,0.65,0.63,0.61,0.82,0.7,0.72,0.47,0.57
LogisticRegression,TF-IDF,1,_,_,_,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.78,0.77,0.77,0.73,0.75
LogisticRegression,TF-IDF,2,_,_,_,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.69,0.75,0.72,0.72,0.66,0.69
LogisticRegression,TF-IDF,3,_,_,_,0.65,0.67,0.65,0.63,0.67,0.65,0.63,0.61,0.84,0.71,0.73,0.45,0.56
LogisticRegression,TF-IDF,5,_,_,_,0.56,0.74,0.56,0.45,0.74,0.55,0.45,0.53,0.99,0.69,0.95,0.11,0.2
LogisticRegression,CountVectorizer,1 - 2,word_tokenize,stop_w + punct,_,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.76,0.78,0.77,0.81,0.79
LogisticRegression,TF-IDF,1,word_tokenize,_,_,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression,CountVectorizer,1,_,_,char,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0
RandomForestClassifier,CountVectorizer,1,_,_,_,0.69,0.69,0.69,0.69,0.7,0.69,0.68,0.66,0.79,0.72,0.73,0.59,0.65
KNeighborsClassifier,CountVectorizer,1,_,_,_,0.54,0.71,0.54,0.43,0.71,0.55,0.44,0.89,0.11,0.19,0.52,0.99,0.68
DecisionTreeClassifier,CountVectorizer,1,_,_,_,0.65,0.66,0.65,0.64,0.66,0.64,0.64,0.62,0.79,0.69,0.7,0.5,0.58
